,x,y,words
592,0.8852282,-16.972488,position
593,10.488872,0.77710474,fact
594,-8.990238,37.92289,fell
595,-24.20466,14.128804,nine
596,-50.94368,5.0703483,December
597,-7.8994684,-1.5161557,front
598,12.027719,-13.053999,action
599,-39.007385,37.918976,defense
600,55.07546,5.6435533,problem
601,55.16409,5.5690613,problems
602,-66.51478,-21.801332,Mr
603,-34.427547,-32.121197,nation
604,33.612694,19.775282,needed
605,2.513439,-4.1596828,special
606,-51.59447,5.012664,January
607,-18.361462,8.3711605,almost
608,43.85905,9.472239,chance
609,28.291082,12.331514,'d
610,8.4786415,6.888394,result
611,-40.38716,-20.273981,West
612,-50.24147,4.4543986,September
613,7.90069,-22.906994,reports
614,-6.652201,-36.33796,leader
615,10.442729,-51.789886,investment
616,-46.28627,-1.1914277,yesterday
617,42.558704,50.67067,Some
618,-7.5386896,-36.36717,leaders
619,-4.870798,8.365133,ahead
620,13.784225,38.061436,production
621,7.390201,47.891903,comes
622,11.447953,9.243745,No
623,-16.397968,29.36391,runs
624,-37.378765,31.44114,match
625,0.7324525,-9.999264,role
626,19.342182,4.859284,kind
627,39.193157,16.542799,try
628,-5.763611,15.765664,ended
629,40.81919,5.4826846,risk
630,-29.380077,-18.472208,areas
631,-18.22045,-53.633263,election
632,-4.2239237,-31.496288,workers
633,-21.487585,-0.69968927,visit
634,4.00756,41.38954,bring
635,-32.47331,-6.7320943,road
636,33.72089,-24.831673,music
637,6.3108788,-25.789108,study
638,23.138199,38.870205,makes
639,17.737501,-2.5532727,often
640,-0.03874512,26.51575,release
641,-13.628515,-16.271936,woman
642,-16.400595,-57.197304,vote
643,-25.56396,-11.459624,care
644,-31.422443,-21.880983,town
645,45.072567,21.58674,clear
646,26.360638,-10.842773,comment
647,-18.440706,3.0601566,budget
648,36.795013,6.480818,potential
649,-2.5941575,-4.840847,single
650,15.274685,-51.742485,markets
651,31.235989,-17.02921,policy
652,-1.3072886,-53.751503,capital
653,20.305885,24.069159,saw
654,15.440481,33.133926,access
655,-44.71086,4.20107,weekend
656,4.939309,-41.676903,operations
657,-7.776677,-8.11235,whose
658,-21.174875,7.1610746,net
659,-24.397457,-51.16415,House
660,16.132755,64.172264,hand
661,-6.1646857,32.44514,increased
662,-4.755379,-8.898566,charges
663,-29.762655,32.721268,winning
664,12.32507,-60.070805,trade
665,43.955853,49.046535,These
666,3.3734958,-51.408665,income
667,17.159227,-12.816876,value
668,12.903205,15.338778,involved
669,1.6572375,-60.418186,Bank
670,-52.23341,4.505737,November
671,-23.844564,-53.869297,bill
672,-15.958585,8.419091,compared
673,16.47058,8.395473,anything
674,-10.971325,-45.223946,manager
675,-54.6262,-21.31791,Texas
676,-21.719124,-10.685368,property
677,-6.884319,22.997461,stop
678,-50.111664,-2.0857332,annual
679,-0.85128963,-48.29694,private
680,0.5444835,7.939255,contract
681,-23.35081,38.133217,died
682,37.358044,40.620754,Now
683,42.961,16.104416,hope
684,19.924564,-41.56761,product
685,-7.0640426,-24.922752,fans
686,-7.502717,28.72553,lower
687,23.031149,-52.885662,demand
688,23.922377,-20.4767,News
689,-65.953,-15.111465,David
690,-45.831707,24.965183,club
691,26.273212,-11.620459,comments
692,19.388048,-9.934191,film
693,-34.754955,23.237913,yards
694,14.925037,-11.655083,quality
695,5.6920137,5.2233353,currently
696,-2.5233061,-24.928282,events
697,11.145686,-5.0326676,addition
698,-21.253778,12.197324,couple
699,-24.503885,-23.872778,schools
700,-35.73384,44.216232,attack
701,-32.771,-31.090235,region
702,-1.2504066,-3.7379146,latest
703,43.829197,9.183543,opportunity
704,3.286002,-16.134306,worked
705,2.9091704,-9.378225,course
706,42.18235,-0.16924386,bad
707,-9.804445,35.564728,fall
708,-11.480487,-29.22415,Group
709,-50.95894,4.150939,October
710,4.961582,-18.141026,jobs
711,18.691648,-5.137496,list
712,32.277813,23.944086,let
713,8.9617405,1.9650276,however
714,-13.144577,-42.377716,chief
715,-40.14967,4.178827,summer
716,8.573065,-29.502197,programs
717,3.8366287,24.369318,According
718,4.882922,-47.950645,revenue
719,46.439842,35.06026,Our
720,-8.713247,38.32919,rose
721,-10.747084,11.7107935,previous
722,20.983257,-24.218044,TV
723,-48.02104,30.646437,football
724,49.50615,-16.03752,biggest
725,-4.206648,-31.425745,employees
726,35.875195,1.500067,changes
727,-14.073161,-24.640186,residents
728,12.801267,11.892657,means
729,0.809972,-21.12909,agreement
730,-1.4119072,16.559498,includes
731,22.79782,-10.774774,post
732,-38.620323,-36.246803,Canada
733,18.958876,10.349883,probably
734,-0.676082,9.344426,related
735,2.700482,-10.630903,training
736,34.738983,25.177084,allowed
737,30.304106,-32.801556,class
738,16.770351,4.0323234,bit
739,15.663066,-22.445925,video
740,-66.75642,-14.403446,Michael
741,64.49202,12.295761,An
742,3.2306015,50.150913,sent
743,-24.487436,-22.502064,education
744,-34.1747,-29.034697,states
745,-23.502499,18.731186,straight
746,22.404501,10.495299,love
747,-28.53957,30.330013,beat
748,2.81309,56.239624,hold
749,-0.17338128,46.577023,turn
750,-25.398743,27.9883,finished
751,10.650858,-31.642128,network
752,-58.458675,-13.40602,Smith
753,0.44459575,-37.850674,buy
754,-35.573433,-37.407726,foreign
755,19.307547,-0.4857161,especially
756,-11.80327,-31.3755,groups
757,30.510862,18.470676,wants
758,-33.881046,33.17302,title
759,-1.6022631,15.889964,included
760,-0.38325387,46.43782,turned
761,2.122055,-59.871567,bank
762,-51.029903,-21.354097,Florida
763,39.711258,13.442623,efforts
764,6.3659925,-7.4237933,personal
765,13.15823,-47.15111,businesses
766,-50.267605,3.720243,August
767,-52.896988,-24.257177,California
768,16.948885,-5.388876,situation
769,-30.427523,-24.647453,district
770,35.254276,24.576696,allow
771,38.11616,21.0364,helped
772,30.610615,-23.532278,body
773,16.427305,8.375761,nothing
774,26.642437,1.9234076,soon
775,20.795885,-27.06612,safety
776,-12.686943,-40.737473,officer
777,-33.684803,9.683814,cents
778,-42.190628,-33.789772,Europe
779,-33.4979,-9.443139,St.
780,29.194143,-1.7993791,additional
781,-7.966396,-41.19203,spokesman
782,-51.56516,4.2048397,February
783,-19.192234,-17.863281,wife
784,23.908215,31.417933,showed
785,-9.5012,43.04326,leave
786,11.233144,-52.522495,investors
787,-16.77057,-20.246647,parents
788,-27.206104,-11.170062,medical
789,-17.093132,3.2140799,spending
790,10.970521,-20.02676,non
791,-47.983948,-31.967976,London
792,-24.686594,-38.05294,Council
793,23.63685,1.5798491,matter
794,-15.829346,3.4913754,spent
795,-16.033024,-19.398724,child
796,-32.21888,-34.66272,World
797,39.717316,13.633387,effort
798,-10.616797,50.006466,opening
799,6.962222,1.9233873,either
800,-2.4644,8.850825,range
801,49.103897,7.239754,question
802,-42.754204,-33.786045,European
803,-16.139627,20.141148,goals
804,-22.69611,-46.798813,administration
805,-20.156395,-20.050755,friends
806,-10.46522,-11.810105,himself
807,24.354792,32.786762,shows
808,58.186253,14.29489,difficult
809,-15.790032,-20.715103,kids
810,1.9306091,13.975082,paid
811,10.007272,37.351974,create
812,-0.827084,-42.91103,cash
813,-11.239157,-7.981294,age
814,-46.312744,25.965885,league
815,13.772181,-3.6704257,form
816,59.68658,-9.027307,impact
817,-14.67663,27.55481,drive
818,14.484611,9.862482,someone
819,26.757511,54.041042,became
820,18.033222,55.17151,stay
821,-3.6148105,25.387472,fight
822,48.431023,-13.8349495,significant
823,10.735745,-47.36851,firm
824,-24.559807,-50.98182,Senate
825,-29.591019,-10.986613,hospital
826,-16.577286,-3.1528442,charged
827,4.9202414,-42.527805,operating
828,51.428185,-14.169048,main
829,-12.671013,-1.5984744,book
830,48.49444,-4.75032,success
831,-18.035942,-16.81925,son
832,12.366819,-59.69349,trading
833,-56.593353,32.364567,###-####
834,34.707325,-4.6994843,focus
835,-21.79513,-4.167707,room
836,29.927538,33.06948,continued
837,-23.931946,-49.29706,Congress
838,15.504631,7.4475303,everything
839,-39.715935,-7.8071136,Park
840,-13.395374,-33.89504,agency
841,3.2899573,41.893898,brought
842,16.692698,21.097147,talk
843,-5.5653443,50.000103,break
844,-54.312496,15.443234,air
845,18.344381,-37.086212,software
846,28.877405,21.800583,decided
847,37.55942,33.4721,Do
848,36.01937,11.488871,ready
849,-16.731398,-4.0590262,arrested
850,4.488179,-10.29868,track
851,17.800127,45.237324,provides
852,-17.89655,-18.047363,mother
853,37.450382,-27.940016,base
854,-2.7677972,-15.963376,trial
855,20.61111,-30.937513,phone
856,46.979374,33.280773,My
857,6.84139,35.72813,build
858,16.625944,-7.401059,conditions
859,11.954284,-10.189718,rest
860,-58.776234,-12.803844,Johnson
861,14.733388,-6.939385,terms
862,30.681076,11.890091,expect
863,-49.15699,-33.970192,England
864,-44.039215,-27.584324,Israel
865,7.4928875,5.8286924,despite
866,-11.756413,50.846523,closed
867,-4.8096585,18.472855,starting
868,16.48681,42.28406,provided
869,37.70808,-13.25121,pressure
870,-8.056659,-20.257553,lives
871,14.253853,-14.434055,step
872,19.973959,55.88541,remain
873,5.02685,-3.1816416,similar
874,-4.6634746,-8.827993,charge
875,-33.088253,0.22538929,date
876,13.313382,-10.599354,whole
877,-21.728449,-10.780346,land
878,-3.9086633,34.558975,growing
879,-64.43295,-14.27627,James
880,16.52072,-29.616013,Internet
881,6.2999597,-31.940046,projects
882,-46.922817,-33.71428,British
883,-2.4359465,-14.696547,cases
884,40.08488,-29.439955,ground
885,-0.57044655,-11.947972,legal
886,-31.142149,-35.287476,International
